table_name,col_name,description
UACTPRM,ACCOUNT_AGREEMENT_ID,"Account Agreement Id (DECIMAL): A unique identifier for the account-premises agreement, represented as a decimal number to ensure precise identification."
UACTPRM,ACCOUNT_PREMISES_ID,"Account Agreement / Premises Id (BIGINT): A unique identifier combining account and premises details, used to link the account with the specific premises. The BIGINT data type allows for large integer values."
UACTPRM,END_DATE,End Date when account-premises agreement went inactive (NULL when active) (DATE): The date when the account-premises agreement was terminated. NULL indicates that the agreement is still active. The DATE data type captures this date in a standard format.
UACTPRM,PREMISES_ID,"Premises Id (CHAR): A unique identifier for each premises, stored as a fixed-length character string. This code is used to link specific premises with account agreements."
UACTPRM,START_DATE,Start Date (DATE): The date when the account-premises agreement began. The DATE data type is used to record this date in a standard format.
UBLH,BHS#CP,"Number of Copies (DECIMAL): Represents the number of copies of the bill issued, using the DECIMAL data type to accommodate fractional values if necessary."
UBLH,BHSACT,"Account Id (DECIMAL): The identifier for the account related to the billing record, stored as a decimal number to ensure precise tracking."
UBLH,BHSADDRID,"Address Id (BIGINT): A unique identifier for the address to which the bill is sent, represented as a large integer. This allows for a large number of unique addresses."
UBLH,BHSARA,Area Code (CHAR): A fixed-length character code representing the geographical area of the service address.
UBLH,BHSAST,"Account Status (CHAR): Indicates the current status of the account, with possible values such as 'IA' for inactive or 'AC' for active."
UBLH,BHSBGA,"Budget Amount (DECIMAL): The amount allocated to the budget for the billing period, represented as a decimal number to handle precise financial figures."
UBLH,BHSBGB,"Budget Balance (DECIMAL): The remaining balance in the budget after charges, recorded as a decimal to handle financial precision."
UBLH,BHSBGC,"Budget Code (CHAR): A fixed-length character code representing the type of budget applied, used for categorization."
UBLH,BHSBGL,"Budget Levelized Budget (CHAR): Indicates if the budget is levelized ('Y' for yes, 'N' for no). Levelized budgets spread costs evenly over a period."
UBLH,BHSBGM,"Budget # of Months (DECIMAL): The number of months over which the budget is spread, stored as a decimal to accommodate fractional months if needed."
UBLH,BHSBGP,"Budget Calc Program (CHAR): The program used for budget calculations, identified by a fixed-length character code."
UBLH,BHSBGS,"Budget Settle-up Month (DECIMAL): The month in which budget adjustments or settlements occur, represented as a decimal number."
UBLH,BHSBLD,"Bill Date (DECIMAL): The date when the bill was issued, formatted as YYYYMMDD and stored as a decimal to handle large numbers."
UBLH,BHSBMB,"Budget Memo Bill (CHAR): Indicates whether a memo bill was created ('Y' for yes, 'N' for no). Memo bills provide additional information or adjustments."
UBLH,BHSBPG,"Post Program (It is not for any bill tasks) (CHAR): Status code indicating if the bill is processed through a specific post-program, with a fixed-length character code."
UBLH,BHSBPH,"Business Phone Number (DECIMAL): Phone number of the business associated with the account, stored as a decimal to handle various formats."
UBLH,BHSBPR,"Bill Periods (DECIMAL): The number of billing periods covered by the bill, represented as a decimal to accommodate fractional periods if needed."
UBLH,BHSBSB,"Bill Batch Id (CHAR): Identifier for the batch of bills, used to group related bills together, represented as a fixed-length character string."
UBLH,BHSBTP,"Bill Type Code (CHAR): Code indicating the type of bill, used for categorization, with a fixed-length character string."
UBLH,BHSBUD,"Budget Bill (CHAR): Indicates whether the bill is part of a budget ('Y' for yes, 'N' for no)."
UBLH,BHSCBC,"Closing Bill Code (CHAR): Code for handling the final bill, representing how the final bill is processed or categorized."
UBLH,BHSCDD,Calculate Due Date (CHAR): Flag indicating if the due date should be calculated ('Y' for yes).
UBLH,BHSCLC,"Calculate Bill Flag (CHAR): Flag indicating if the bill should be calculated ('Y' for yes, 'N' for no)."
UBLH,BHSCLD,"Collection Due Date (DECIMAL): Date by which payment should be collected, formatted as YYYYMMDD and stored as a decimal."
UBLH,BHSCLS,"Account Type/Class (CHAR): Classification of the account type or class, used to categorize the account into different types or classes."
UBLH,BHSCOD,"Route/Cycle Code (CHAR): Code indicating the route or cycle for billing, used to manage the billing process."
UBLH,BHSCRC,"Cancel/Rebill Code (CHAR): Code used for canceling or rebilling, representing reasons or procedures related to cancellations or rebills."
UBLH,BHSCSO,"Create S/O (CHAR): Indicates if a service order (S/O) was created ('Y' for yes, 'N' for no)."
UBLH,BHSCSQ,"Copy Sequence # (DECIMAL): Sequence number for tracking copies of the bill, represented as a decimal to handle sequential copies."
UBLH,BHSCT#,"CRC Transaction # (DECIMAL): Transaction number associated with the bill in the CRC system, used for tracking specific transactions."
UBLH,BHSCUR,"Current Bill Amount (DECIMAL): The amount due on the current bill, recorded as a decimal to handle precise financial figures."
UBLH,BHSCUS,"Customer Id (DECIMAL): Unique identifier for the customer, represented as a decimal to ensure precise identification."
UBLH,BHSDBA,"DBA Name (CHAR): Doing Business As (DBA) name for the account, listing the operating name of the business."
UBLH,BHSDIV,"Division Code (CHAR): Code representing the division within the organization, used for categorizing or managing different divisions."
UBLH,BHSDST,"District Code (CHAR): Code indicating the district where the service is provided, used for geographical categorization."
UBLH,BHSDYS,"Bill Period Days (DECIMAL): Number of days covered by the billing period, stored as a decimal to handle precise day counts."
UBLH,BHSEFT,"EFT Transfer Flag for drafted X or Y and for not drafted '' (CHAR): Indicates the status of EFT transfers, with 'X' or 'Y' for drafted and '' for not drafted."
UBLH,BHSEMP,"Employer (CHAR): Name of the employer associated with the account, listed as a fixed-length character string."
UBLH,BHSEXC,"Exception Code (CHAR): Code indicating any exceptions or special conditions related to the account or bill, represented as a fixed-length character string."
UBLH,BHSFNM,"First Name (CHAR): First name of the person associated with the account, stored as a fixed-length character string."
UBLH,BHSGBC,"Group Bill Code (CHAR): Code indicating whether the bill is part of a group billing arrangement ('Y' for yes, 'N' for no)."
UBLH,BHSGBH,"Group Bill Header (CHAR): Provides additional information or headers for group billing arrangements, detailed as a fixed-length character string."
UBLH,BHSGBI,"Group Bill Invoice # (DECIMAL): Invoice number for group billing, represented as a decimal to track specific invoices within group billing."
UBLH,BHSLAT,"Late Charge (DECIMAL): Amount of the late charge applied to the bill, representing penalties for late payment, stored as a decimal for financial precision."
UBLH,BHSLBD,"Last Bill Date (DECIMAL): The date when the last bill was issued, formatted as YYYYMMDD and stored as a decimal."
UBLH,BHSLCG,"Late Charge Exempt (CHAR): Indicates whether the account is exempt from late charges ('Y' for yes, 'N' for no)."
UBLH,BHSLNM,"Last Name (CHAR): The last name of the person associated with the account, stored as a fixed-length character string."
UBLH,BHSLPD,"Last Payment Date (DECIMAL): The date when the last payment was made, formatted as YYYYMMDD and stored as a decimal."
UBLH,BHSLST,"Language Set (CHAR): The language set used for the account, stored as a fixed-length character string."
UBLH,BHSMCP,"Misc Charge Post (CHAR): Indicates if miscellaneous charges were posted ('Y' for yes, 'N' for no)."
UBLH,BHSMIL,"Middle Initial (CHAR): The middle initial of the person associated with the account, stored as a fixed-length character string."
UBLH,BHSNAM,"Account Name (CHAR): The name of the account holder, stored as a fixed-length character string."
UBLH,BHSNAS,"New Account Status (CHAR): Indicates the status of a newly created account, represented as a fixed-length character string."
UBLH,BHSNET,"Net Bill Amount (DECIMAL): The total amount due on the bill after adjustments, represented as a decimal to handle precise financial figures."
UBLH,BHSOBC,"Opening Bill Code (CHAR): Code indicating the type of opening bill, represented as a fixed-length character string."
UBLH,BHSOCA,"Other Credit Amounts (DECIMAL): Additional credit amounts applied to the account, represented as a decimal for precise financial tracking."
UBLH,BHSOPH,"Phone Number (DECIMAL): Phone number associated with the account, formatted as a decimal to handle various phone number formats."
UBLH,BHSORY,"Original Revenue Date (DECIMAL): The original date when revenue was recorded, formatted as YYYYMM and stored as a decimal."
UBLH,BHSOVR,"Override Exception (CHAR): Indicates if an override exception was applied ('Y' for yes, 'N' for no)."
UBLH,BHSPAD,"Previous Adjustments (DECIMAL): Total amount of previous adjustments made to the account, represented as a decimal for accurate financial tracking."
UBLH,BHSPAS,"Past Due Amount (DECIMAL): Amount that is past due on the account, represented as a decimal to handle precise financial figures."
UBLH,BHSPAY,"Payments (DECIMAL): Amount of payments made towards the bill, represented as a decimal for precise financial tracking."
UBLH,BHSPDC,"Past Due Credit Code (CHAR): Code representing credits related to past due amounts, used for categorization."
UBLH,BHSPDD,"Due Date (DECIMAL): The date when the payment is due, formatted as YYYYMMDD and stored as a decimal."
UBLH,BHSPDM,"Past Due Comm Code (CHAR): Code for past due communication, used to track communication regarding overdue payments."
UBLH,BHSPEN,"Future Penalty (DECIMAL): The penalty amount applied for future late payments, represented as a decimal to handle precise financial figures."
UBLH,BHSPFX,"Prefix (CHAR): Prefix code associated with the account, used for categorization, represented as a fixed-length character string."
UBLH,BHSPGB,"Print w/ Group Stmt (CHAR): Indicates if the bill was printed with a group statement ('Y' for yes, 'N' for no)."
