sno,question,question_category,query,logic,response,chart
1,How is residential billed water usage trending for 2023,not_order_by,"select u.usage_period as UsagePeriod, sum(u.billing_usage) as BillingUsage from uusehst u join uservice s on u.service_id = s.service_id join usvctyp t on s.service_type = t.service_type join ublh b on u.bill_id = b.bhstr# join ucls c on b.bhscls = c.uccls where status_type = 'BILLED' and bhscrc not in ('C', 'S') and ucdes like '%Residential%' and left(usage_period,4) = 2023 and t.utility_type = 'W' group by u.usage_period","This query retrieves the residential billed water usage for 2023. It joins multiple tables ('uusehst', 'uservice', 'usvctyp', 'ublh', and 'ucls') to filter data based on billing status, service type, utility type, and description, grouping by the usage period for 2023.""",The residential billed water usage trend for 2023 is displayed below.,"{ 'type': 'line', 'x_axis': ['USAGEPERIOD'], 'y_axis': ['BILLINGUSAGE'], 'logic': 'A line chart is suitable for visualizing trends in water usage over time.' }"
2,Compare 2023 and 2022 residential water revenue,not_order_by,"SELECT SUBSTR(bhsrym, 1, 4) AS YEAR, SUM(bhstot) AS BILLINGREVENUE FROM uusehst u JOIN uservice s ON u.service_id = s.service_id JOIN usvctyp t ON s.service_type = t.service_type JOIN ublh b ON u.bill_id = b.bhstr# JOIN ucls c ON b.bhscls = c.uccls WHERE status_type = 'BILLED' AND bhscrc NOT IN ('C', 'S') AND ucdes LIKE '%Residential%' AND t.utility_type = 'W' AND SUBSTR(bhsrym, 1, 4) IN ('2022', '2023') GROUP BY SUBSTR(bhsrym, 1, 4) ORDER BY SUBSTR(bhsrym, 1, 4)","This query compares residential water revenue for 2023 and 2022 by summing the 'bhstot' values, which represent billing revenue. The query filters data based on billing status, service type, and utility type, grouping by year.",The comparison of residential water revenue for the years 2023 and 2022 is displayed below.,"{ 'type': 'bar', 'x_axis': ['YEAR'], 'y_axis': ['BILLINGREVENUE'], 'logic': 'A bar chart is ideal for visualizing the comparison of water revenue across two years.' }"
3,Show me the total number of active premises by District and Route.,not_order_by,"select UPRM.UPDST as District, UPRM.UPRTE as Route, URTE.UBDSC as RouteDescription, count(UPRM.UPPRM) as TotalPremises from UPRM inner join URTE on UPRM.UPRTE = URTE.UBRTE inner join UPST on UPRM.UPSTS = UPST.UIPSC where UPST.UIIAP <> 'Y' group by UPRM.UPDST, UPRM.UPRTE, URTE.UBDSC","This query retrieves the total number of active premises by district and route. It joins the 'UPRM', 'URTE', and 'UPST' tables to filter data based on district, route, and premises status, grouping by district, route, and route description.",The total number of active premises by district and route is displayed below.,"{
    ""type"": ""table"",
    ""x_axis"": [""DISTRICT"", ""ROUTE"", ""ROUTEDESCRIPTION"", ""TOTALPREMISES""],
    ""y_axis"": [],
    ""logic"": ""A table is appropriate for displaying premises data grouped by district and route, allowing for easy identification of the total number of active premises.""
}"
4,Give me a list of water premises showing latitude and longitude.,not_order_by,"select distinct PREMISESID, SERVICETYP, SVCSIZETYP, PHYSCNCTDT, PHYSDSCNDT, BASEUSAGE, USAGEFCTR, LATITUDE, LONGITUDE, DESCRIPTN, CREATETS from USERVICE where SERVICETYP = 'W'","This query retrieves a list of water premises, displaying distinct premises with their respective attributes, including latitude and longitude. The query filters for records where the service type is 'W' (water).",The list of water premises with latitude and longitude is displayed below.,"{
    'type': 'table',
    'x_axis': ['PREMISESID', 'LATITUDE', 'LONGITUDE', 'SERVICETYPE', 'DESCRIPTION'],
    'y_axis': [],
    'logic': 'A table is ideal for displaying detailed information about water premises, including geographical coordinates.'
}"
5,How many active multi-unit premises do we have?,not_order_by,SELECT COUNT(uprm.UPPRM) AS TotalMultiUnitPremises FROM UPRM INNER JOIN UPST ON uprm.UPSTS = upst.UIPSC WHERE upst.UIIAP <> 'Y' AND uprm.UPDUN > 1,This query counts the total number of active multi-unit premises. It filters data based on premises status and ensures that the unit count is greater than 1 (indicating multi-unit premises).,The total number of active multi-unit premises is displayed below.,"{
    'type': 'null',
    'x_axis': ['null'],
    'y_axis': ['null'],
    'logic': 'Displaying the total count as a single value for easy readability.'
}"
6,How many bills were sent by bill cycle for month 202305?,not_order_by,"select BillCycle, sum(TotalBills) as TotalBills from ( SELECT bhsrcc as BillCycle, count(bhstr#) as TotalBills FROM ublh where bhsrym = 202305 and bhscod = 'C' group by bhsrcc union all SELECT ubcyc as BillCycle, count(bhstr#) as TotalBills FROM ublh a join urte b on a.bhsrcc = b.UBRTE where bhsrym = 202305 and bhscod = 'R' group by ubcyc) tbl group by BillCycle",This query retrieves the total number of bills sent by bill cycle for the month of 202305. It combines records for different billing types ('C' for current and 'R' for recurring) and sums the total bills for each cycle.,The total number of bills sent by bill cycle for the month of 202305 is displayed below.,"{
    'type': 'bar',
    'x_axis': ['BILLCYCLE'],
    'y_axis': ['TOTALBILLS'],
    'logic': 'A bar chart is appropriate for visualizing the number of bills sent across different bill cycles.'
}"
7,List of accounts that had a cancelled bill during revenue month 202305.,not_order_by,"select bhstr# as BillId, bhsact as AccountId, bhsbld as BillDate from ublh where bhscrc = 'C' and bhsrym = 202305",This query retrieves a list of accounts that had a cancelled bill during the revenue month of 202305. It filters records where the bill status code is 'C' (cancelled).,The list of accounts with a cancelled bill during the revenue month 202305 is displayed below.,"{ 'type': 'table', 'x_axis': ['BILLID', 'ACCOUNTID', 'BILLDATE'], 'y_axis': [], 'logic': 'A table format is suitable for displaying detailed account information with cancelled bills.' }"
8,What is the overall total usage by Unit of Measure for period 202305?,not_order_by,"select BILLING_UNIT_OF_MEASURE_TYPE as UnitofMeasure, sum(billing_usage) as BillingUsage from UUSEHST where usage_period = 202305 group by BILLING_UNIT_OF_MEASURE_TYPE",This query retrieves the total usage by Unit of Measure for the period 202305. It groups the data by the unit of measure and sums the billing usage.,The total usage by Unit of Measure for the period 202305 is displayed below.,"{
    'type': 'pie',
    'x_axis': ['UNITOFMEASURE'],
    'y_axis': ['BILLINGUSAGE'],
    'logic': 'A pie chart is suitable for visualizing the proportion of usage by different units of measure.'
}"
9,List of all services with adjusted usage for period 202304,not_order_by,"select SERVICE_ID as ServiceId, USAGE_PERIOD as UsagePeriod, BILLING_USAGE as BillingUsage from UUSEHST where USAGE_TYPE = 'ADJUSTMENT' and usage_period = 202304",This query retrieves a list of services with adjusted usage for the period 202304. It filters records based on the usage type being 'ADJUSTMENT'.,The list of services with adjusted usage for period 202304 is displayed below.,"{ 'type': 'table', 'x_axis': ['SERVICEID', 'USAGEPERIOD', 'BILLINGUSAGE'], 'y_axis': [], 'logic': 'A table format is appropriate for displaying detailed service usage adjustment information.' }"
10,List of services with unbilled usage older than 2 months.,not_order_by,"select SERVICE_ID as ServiceId, USAGE_PERIOD as UsagePeriod, BILLING_USAGE as BillingUsage, STATUS_TYPE as Status from UUSEHST where BILL_ID is null and STATUS_TYPE = 'READY' and to_date(cast(usage_period as char(6))||'01','YYYYMMDD') < DATE(SUBSTR(CHAR(now()), 1, 7) || '-01') - 2 months","This query retrieves a list of services with unbilled usage that is older than 2 months. It filters the data where there is no bill ID, the status is 'READY', and the usage period is older than 2 months.",The list of services with unbilled usage older than 2 months is displayed below,"{ 'type': 'table', 'x_axis': ['SERVICEID', 'USAGEPERIOD', 'BILLINGUSAGE', 'STATUS'], 'y_axis': [], 'logic': 'A table format is suitable for displaying detailed information about services with unbilled usage.' }"
